name	population	ageDistribution multiplier
Switzerland	8600000	Switzerland	30
Germany	83783942	Germany	30
France	65273511	France	30
Italy	60461826	Italy	200
Spain	46754778	Spain	100
Poland	37846611	Poland	50
Romania	19237691	Romania	50
Netherlands	17134872	Netherlands	30
Belgium	11589623	Belgium	30
Czech Republic	10708981	Czech Republic	50
Greece	10423054	Greece	50
Portugal	10196709	Portugal	50
Sweden	10099265	Sweden	30
Hungary	9660351	Hungary	50
Austria	9006398	Austria	50
Bulgaria	6948445	Bulgaria	50
Denmark	5792202	Denmark	30
Finland	5540720	Finland	30
Slovakia	5459642	Slovakia	30
Ireland	4937786	Ireland	30
Croatia	4105267	Croatia	50
Lithuania	2722289	Lithuania	50
Slovenia	2078938	Slovenia	50
Latvia	1886198	Latvia	50
Estonia	1326535	Estonia	50
Cyprus	1207359	Cyprus	50
Luxembourg	625978	Luxembourg	30
Malta	441543	Malta	30
United Kingdom	66000000	United Kingdom of Great Britain and Northern Ireland	30
United States	330000000	United States of America	100
CH-Zürich	1520968	Switzerland
CH-Bern	1034977	Switzerland
CH-Luzern	409557	Switzerland
CH-Uri	36433	Switzerland
CH-Schwyz	159165	Switzerland
CH-Obwalden	37841	Switzerland
CH-Nidwalden	43223	Switzerland
CH-Glarus	40403	Switzerland
CH-Zug	126837	Switzerland
CH-Freiburg	318714	Switzerland
CH-Solothurn	273194	Switzerland
CH-Basel-Stadt	194766	Switzerland
CH-Basel-Landschaft	288132	Switzerland
CH-Schaffhausen	81991	Switzerland
CH-Appenzell Ausserrhoden	55234	Switzerland
CH-Appenzell Innerrhoden	16145	Switzerland
CH-St. Gallen	507697	Switzerland
CH-Graubünden	198379	Switzerland
CH-Aargau	677387	Switzerland
CH-Thurgau	276472	Switzerland
CH-Tessin	353343	Switzerland
CH-Waadt	799145	Switzerland
CH-Wallis	343955	Switzerland
CH-Neuenburg	176850	Switzerland
CH-Genf	499480	Switzerland
CH-Jura	73419	Switzerland
DE-Baden-Württemberg	11069533	Germany
DE-Bayern	13076721	Germany
DE-Berlin	3644826	Germany
DE-Bremen	682986	Germany
DE-Brandenburg	2511917	Germany
DE-Hamburg	1841179	Germany
DE-Hessen	6265809	Germany
DE-Mecklenburg-Vorpommern	1609675	Germany
DE-Niedersachsen	7982448	Germany
DE-Nordrhein-Westfalen	17932651	Germany
DE-Rheinland-Pfalz	4084844	Germany
DE-Saarland	990509	Germany
DE-Sachsen	4077937	Germany
DE-Sachsen-Anhalt	2208321	Germany
DE-Schleswig-Holstein	2896712	Germany
DE-Thüringen	2143145	Germany
SE-Stockholm	2000000	Sweden
